iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TKM,Asia,Turkmenistan,4/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/27/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,4/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/27/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,5/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
